上海,上海华瑞银行股份有限公司,"绩效奖金,扁平管理,领导好,美女多",Python开发工程师,20k-40k,金融/不需要融资,本科/3-5年
上海,上海幻电信息科技有限公司,"带薪年假,绩效奖金,交通补助,午餐补助",Python开发工程师,15k-30k,"移动互联网,文化娱乐/上市公司",本科/1-3年
上海,上海基分文化传播有限公司,"专项奖金,带薪年假,弹性工作,管理规范",Python开发工程师,20k-35k,移动互联网/不需要融资,大专/3-5年
上海,上海悦易网络信息技术有限公司,"节日礼物,股票期权,专项奖金,带薪年假",python工程师,15k-25k,"电子商务,O2O/D轮及以上",本科/3-5年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python研发工程师,15k-30k,"企业服务,数据服务/A轮",本科/3-5年
上海,上海利莫网络科技有限公司,"专项奖金,股票期权,带薪年假,年度旅游",Python工程师,10k-20k,金融/B轮,不限/1-3年
上海,再惠（上海）网络科技有限公司,"午餐晚餐补助,领导亲和逗逼,丰厚股票期权,年底2-5薪",高级python工程师,20k-40k,"移动互联网,企业服务/B轮",本科/3-5年
上海,上海优刻得信息科技有限公司,"节日礼物,技能培训,股权激励计划,代码改变世界",资深Python开发工程师,25k-35k,"数据服务,企业服务/D轮及以上",本科/5-10年
上海,上海点融信息科技有限责任公司,"节日礼物,带薪年假,岗位晋升,扁平管理",高级python开发工程师-SH415-41509,20k-40k,金融/D轮及以上,本科/3-5年
上海,无锡华云数据技术服务有限公司,"节日礼物,带薪年假,扁平管理,弹性工作",高级Python开发工程师,18k-25k,"移动互联网,数据服务/D轮及以上",本科/3-5年
上海,上海真己化人教育科技有限公司,"技能培训,带薪年假,岗位晋升,帅哥多",Python资深开发工程师,12k-24k,文化娱乐/不需要融资,本科/3-5年
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",高级Python开发,12k-24k,移动互联网/B轮,本科/3-5年
上海,上海果雪信息科技有限公司,"年底双薪,带薪年假,午餐补助,通讯津贴",Python 工程师,15k-30k,移动互联网/A轮,本科/3-5年
上海,北京字节跳动科技有限公司,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",高级Python开发工程师,25k-50k,"移动互联网,数据服务/C轮",本科/3-5年
上海,竹间智能科技（上海）有限公司,"年底双薪,股票期权,带薪年假,绩效奖金",Python 开发工程师,20k以上,"移动互联网,其他/B轮",本科/不限
上海,通联数据股份公司,"五险一金,通讯津贴,带薪年假,节日礼物",python开发工程师,10k-20k,金融/不需要融资,本科/3-5年
上海,上海壤歌市场营销策划有限公司,"股票期权,绩效奖金,岗位晋升,扁平管理",资深Python工程师,18k-28k,"移动互联网,企业服务/A轮",本科/3-5年
上海,深圳市前海自乐游旅游科技有限公司,"领导好,扁平管理,AI,人工智能",Python开发工程师,25k-50k,"移动互联网,旅游/A轮",本科/3-5年
上海,上海唯链信息科技有限公司,"弹性工作,五险一金,老司机驾校,年底N薪",python高级研发,20k-35k,"移动互联网,信息安全/A轮",大专/3-5年
上海,两鲜商贸（上海）有限公司,"技能培训,节日礼物,带薪年假,岗位晋升",Python 开发工程师,10k-15k,电子商务/A轮,大专/1-3年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python开发工程师,10k-20k,"企业服务,数据服务/A轮",本科/1-3年
上海,上海驻云信息科技有限公司,"股票期权,带薪年假,定期体检,年度旅游",Python开发工程师,15k-25k,"移动互联网,企业服务/C轮",大专/3-5年
上海,上海创远教育科技有限公司,"周末双休,不加班,年终奖,一年多次加薪",Python开发工程师,15k-20k,教育/A轮,本科/3-5年
上海,上海游族信息技术有限公司,"五险一金,岗位晋升,弹性工作,扁平管理",资深python开发工程师,15k-25k,"移动互联网,游戏/上市公司",不限/3-5年
上海,上海众言网络科技有限公司,"技能培训,节日礼物,年底双薪,绩效奖金",Python开发,12k-24k,移动互联网/B轮,本科/3-5年
上海,苏州博纳讯动软件有限公司,"凝聚力强,客户群广,发展迅速,团队年轻",Python开发工程师,6k-10k,"移动互联网,企业服务/B轮",本科/3-5年
上海,上海优刻得信息科技有限公司,"节日礼物,技能培训,股权激励计划,代码改变世界",高级Python开发工程师,25k-35k,"数据服务,企业服务/D轮及以上",本科/5-10年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",Python研发工程师,10k-20k,"企业服务,数据服务/A轮",本科/1-3年
上海,上海物思信息科技有限公司,,Python高级工程师,10k-16k,"移动互联网,硬件/天使轮",本科/1-3年
上海,深圳狗尾草智能科技有限公司,"年底双薪,股票期权,带薪年假,绩效奖金",高级Python开发工程师,15k-30k,"移动互联网,O2O/A轮",本科/5-10年
上海,上海江村市隐智能科技有限公司,"年底双薪,带薪年假,午餐补助,绩效奖金",Python开发,10k-15k,"移动互联网,企业服务/不需要融资",本科/1-3年
上海,上海果雪信息科技有限公司,"年底双薪,带薪年假,午餐补助,通讯津贴",Python开发,15k-25k,移动互联网/A轮,本科/3-5年
上海,亿可能源科技（上海）有限公司,"技能培训,带薪年假,绩效奖金,岗位晋升",Python,15k-30k,"移动互联网,数据服务/A轮",本科/3-5年
上海,上海语酷网络科技有限公司,"""""",python高级研发,20k-35k,"社交网络,企业服务/不需要融资",本科/3-5年
上海,上海知助数据科技有限公司,,Python,12k-17k,"数据服务,企业服务/天使轮",本科/不限
上海,上海分泰信息科技有限公司,,python开发工程师,15K-25K,移动互联网/天使轮,本科/3-5年
上海,瞬联软件科技（北京）有限公司,"高薪,节日礼物,弹性工作,带薪年假",python开发工程师,10k-15k,"移动互联网 ,企业服务/不需要融资",本科/不限
上海,浙江九州云信息科技有限公司,"技能培训,绩效奖金,岗位晋升,定期体检",python工程师,15k-30k,数据服务/B轮,不限/不限
上海,上海亦存网络科技有限公司,"技能培训,专项奖金,绩效奖金,扁平管理",高级Python开发,20k-40k,"企业服务,数据服务/不需要融资",本科/3-5年
上海,上海泛微网络科技股份有限公司,"技能培训,带薪年假,绩效奖金,岗位晋升",运维工程师（Python）,8k-13k,"移动互联网,企业服务/上市公司",本科/1-3年
上海,上海拿米金融信息服务有限公司,"年底双薪,股票期权,带薪年假,通讯津贴",大数据应用工程师-Python,20k-35k,"移动互联网,金融/不需要融资",大专/3-5年
上海,上海趋佳信息科技有限公司,"""""",Python研发工程师,15K-22K,移动互联网/天使轮,本科/3-5年
上海,上海道客网络科技有限公司,"工程师文化,业界大牛,改变世界,豪华团队",高级 Python 研发工程师（上海）,10k-20k,"企业服务,数据服务/A轮",本科/3-5年
上海,浚皙商务咨询（上海）有限公司,"节日礼物,韩语英语氛围,扁平管理,领导好",Python,15k-25k,"社交网络,游戏/不需要融资",本科/3-5年
上海,上海魔芋网络科技有限公司,"年底双薪,岗位晋升,扁平管理,领导好",python开发工程师,15k-25k,数据服务/A轮,本科/1-3年
上海,源杉信息技术（上海）有限公司,"股票期权,美女多,领导好,扁平管理",Python后端工程师,15k-30k,"数据服务,金融/天使轮",本科/3-5年
上海,上海炫体信息科技有限公司,"节日礼物,年底双薪,专项奖金,带薪年假",Python（年轻人的狂欢）,12k-20k,"移动互联网,社交网络/不需要融资",大专/1-3年
上海,上海厚本金融信息服务有限公司,"技能培训,年底双薪,股票期权,带薪年假",Python/Go 运维开发工程师,15k-25k,金融/A轮,本科/3-5年
上海,上海互趣网络科技有限公司,"股票期权,午餐补助,带薪年假,极客文化",Java/Python资深开发工程师,35k-70k,"移动互联网,社交网络/B轮",本科/5-10年
上海,上海壤歌市场营销策划有限公司,"股票期权,绩效奖金,岗位晋升,扁平管理",python工程师,10k-15k,"移动互联网,企业服务/A轮",不限/1-3年
上海,北京云英传奇技术有限公司,"绩效奖金,定期体检,带薪年假,弹性工作",Python开发工程师,17k-25k,"移动互联网,数据服务/A轮",本科/3-5年
上海,上海优刻得信息科技有限公司,"节日礼物,技能培训,股权激励计划,代码改变世界",初级Python开发工程师,15k-25k,"数据服务,企业服务/D轮及以上",本科/1-3年
上海,一图一数（北京）科技有限公司,"专项奖金,年终分红,带薪年假",Python开发工程师,20k-30k,"移动互联网,广告营销/未融资",本科/3-5年
上海,上海数旦信息技术有限公司,"绩效奖金,股票期权,定期体检,年度旅游",Python开发高级工程师,15k-30k,"移动互联网,金融/A轮",本科/3-5年
上海,上海拿米金融信息服务有限公司,"年底双薪,股票期权,带薪年假,通讯津贴",大数据应用工程师-Python,20k-40k,"移动互联网,金融/不需要融资",大专/3-5年
上海,上海炫体信息科技有限公司,"节日礼物,年底双薪,专项奖金,带薪年假",Python,10k-20k,"移动互联网,社交网络/不需要融资",不限/1-3年
上海,再惠（上海）网络科技有限公司,"午餐晚餐补助,领导亲和逗逼,丰厚股票期权,年底2-5薪",后端开发工程师（Python）,16k-32k,"移动互联网,企业服务/B轮",本科/3-5年
上海,北京奇安信科技有限公司,"年底双薪,带薪年假,午餐补助,定期体检",Python开发工程师,15k-30k,"电子商务,企业服务/不需要融资",本科/3-5年
上海,上海创远教育科技有限公司,"周末双休,不加班,年终奖,一年多次加薪",Python开发工程师,10k-18k,教育/A轮,本科/1-3年
上海,上海犇众信息技术有限公司,"节日礼物,股票期权,带薪年假,年度旅游",Python开发工程师,15k-20k,移动互联网/天使轮,大专/1-3年
上海,上海见寻文化创意有限公司,"年底双薪,定期体检,带薪年假",Python 研发工程师,12k-24k,社交网络/天使轮,本科/3-5年
上海,苏州体素信息科技有限公司,"专项奖金,交通补助,年底双薪,五险一金",Python后端工程师,20k-30k,医疗健康/A轮,本科/3-5年
上海,广州汇正财经顾问有限公司,,资深python工程师,20k-30k,金融/未融资,本科/3-5年
上海,上海思华科技股份有限公司,"节日礼物,年底双薪,专项奖金,股票期权",云计算开发工程师（Python）,12k-24k,移动互联网/D轮及以上,本科/3-5年
上海,上海行动教育科技股份有限公司,"五险一金,绩效奖金,专项奖金,定期体检",高级Python开发工程师/经理,15k-25k,教育/上市公司,本科/3-5年
上海,魔珐（上海）信息科技有限公司,"明星团队,股票期权,顶级科学家,顶级风投",Python后端开发工程师,15k-30k,"移动互联网,数据服务/天使轮",本科/3-5年
